bestand;status;artikeltype;titel;technische_punten;redactionele_punten;fixes_toegepast
achter-de-schermen-zo-ingewikkeld-is-matter-eigenlijk.html;AANDACHT;techarticle;Achter de schermen: zó ingewikkeld is Matter eigenlijk;publish_date ontbreekt | modified_date ontbreekt;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;dubbele body-tags verwijderd | canonical toegevoegd | author-meta toegevoegd | robots-meta toegevoegd | defer aan affiliate-products.js toegevoegd | hero-afbeelding attributen
arduino_ide_esp8266_tutorial.html;AANDACHT;howto;Arduino IDE instellen voor ESP8266 (Wemos D1 Mini);publish_date ontbreekt | modified_date ontbreekt;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;dubbele body-tags verwijderd | canonical toegevoegd | author-meta toegevoegd | robots-meta toegevoegd | defer aan affiliate-products.js toegevoegd
beste-bewegingssensoren-voor-homey-2026.html;AANDACHT;techarticle;De beste bewegingssensoren voor Homey in 2026;publish_date ontbreekt | modified_date ontbreekt;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;dubbele body-tags verwijderd | canonical toegevoegd | author-meta toegevoegd | robots-meta toegevoegd | defer aan affiliate-products.js toegevoegd | hero-afbeelding attributen
beste-slimme-stekkers-voor-homey-2026.html;AANDACHT;techarticle;De beste slimme stekkers voor Homey in 2026: welke past bij jouw huis?;publish_date ontbreekt | modified_date ontbreekt;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;dubbele body-tags verwijderd | canonical toegevoegd | author-meta toegevoegd | robots-meta toegevoegd | defer aan affiliate-products.js toegevoegd | hero-afbeelding attributen
bewegingssensor_homeyduino.html;AANDACHT;howto;Bouw je eigen Bewegingssensor (PIR + Arduino);publish_date ontbreekt | modified_date ontbreekt;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;dubbele body-tags verwijderd | canonical toegevoegd | author-meta toegevoegd | robots-meta toegevoegd | defer aan affiliate-products.js toegevoegd | hero-afbeelding attributen
bouw-zelf-een-matter-sensor-co2-en-bme280.html;AANDACHT;howto;Zelf een Matter CO₂-sensor bouwen met ESP32, MH-Z19 en BME280;publish_date ontbreekt | modified_date ontbreekt;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;dubbele body-tags verwijderd | canonical toegevoegd | author-meta toegevoegd | robots-meta toegevoegd | defer aan affiliate-products.js toegevoegd | hero-afbeelding attributen
Chriet-Titulaer-voorspellingen.html;AANDACHT;techarticle;Chriet Titulaer: de man die het slimme huis al zag aankomen;publish_date ontbreekt | modified_date ontbreekt;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;canonical toegevoegd | author-meta toegevoegd | robots-meta toegevoegd | defer aan affiliate-products.js toegevoegd | hero-afbeelding attributen
chriet-titulaer.html;AANDACHT;techarticle;Chriet Titulaer en het Huis van de Toekomst;publish_date ontbreekt | modified_date ontbreekt;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;canonical toegevoegd | author-meta toegevoegd | robots-meta toegevoegd | hero-afbeelding attributen
gemini-voor-home.html;AANDACHT;techarticle;Gemini voor Home: wat verandert er ten opzichte van Google Assistant?;publish_date ontbreekt | modified_date ontbreekt;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;dubbele body-tags verwijderd | canonical toegevoegd | hv-schema-type=techarticle toegevoegd | author-meta toegevoegd | robots-meta toegevoegd | defer aan affiliate-products.js toegevoegd | hero-afbeelding attributen
homey-bridge-satellite-mode-vs-homeylink.html;AANDACHT;techarticle;Homey Bridge Satellite Mode vs HomeyLink: wat zijn de verschillen?;publish_date ontbreekt | modified_date ontbreekt;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;dubbele body-tags verwijderd | canonical toegevoegd | author-meta toegevoegd | robots-meta toegevoegd | defer aan affiliate-products.js toegevoegd | hero-afbeelding attributen
homey-bridge.html;AANDACHT;techarticle;Maak kennis met de Homey Bridge;publish_date ontbreekt | modified_date ontbreekt;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;dubbele body-tags verwijderd | canonical toegevoegd | hv-schema-type=techarticle toegevoegd | author-meta toegevoegd | robots-meta toegevoegd | defer aan affiliate-products.js toegevoegd | hero-afbeelding attributen
homey-chatgpt.html;AANDACHT;techarticle;Homey nu beschikbaar in ChatGPT: je slimme huis begrijpt straks gewoon wat je bedoelt;publish_date ontbreekt | modified_date ontbreekt;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;canonical toegevoegd | author-meta toegevoegd | robots-meta toegevoegd | defer aan affiliate-products.js toegevoegd | hero-afbeelding attributen
homey-ld2410-flow-tutorial.html;GOED + REDACTIONEEL;howto;LD2410 aanwezigheid gebruiken voor slimme flows in Homey;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;dubbele body-tags verwijderd | dubbele script.js include verwijderd | canonical toegevoegd | modified_date uit publish_date toegevoegd | author-meta toegevoegd | robots-meta toegevoegd | defer aan affiliate-products.js toegevoegd | hero-afbeelding attributen
homey-portal.html;AANDACHT;techarticle;Homey Portal: dit is Homey's nieuwe bedieningspaneel voor je slimme huis;publish_date ontbreekt | modified_date ontbreekt;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;dubbele body-tags verwijderd | canonical toegevoegd | author-meta toegevoegd | robots-meta toegevoegd | defer aan affiliate-products.js toegevoegd | hero-afbeelding attributen
